Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:00<00:00, 98.47it/s]
/home/panzihang/src/prism_paper_counts_20260803/vendor/flexgen/my_pcache_fast.py:1467: UserWarning: The given NumPy array is not writable, and PyTorch does not support non-writable tensors. This means writing to this tensor will result in undefined behavior. You may want to copy the array to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:213.)
  return torch.from_numpy(data[:])
{
  "model_path": "/data1/llm/Qwen/Qwen2.5-7B-Instruct",
  "plan": "/home/panzihang/src/prism_paper_counts_20260803/configs/qwen25_k005_contigkv.json",
  "tasks": {
    "sst2": {
      "samples": 100,
      "accuracy": 0.87,
      "mean_ttft_ms": 222.71079065743834,
      "p95_ttft_ms": 251.49416783824563,
      "mean_selected_kv_bytes": 10469048.32,
      "mean_physical_prefetch_kv_bytes": 13818675.2,
      "mean_read_amplification": 1.320012846707882,
      "mean_effective_keep_ratio": 0.04790493683697566,
      "mean_prefetch_gpu_source_fraction": 0.7472159076025549,
      "mean_prefetch_cpu_source_fraction": 0.157163679847057,
      "mean_prefetch_disk_source_fraction": 0.09562041255038785,
      "mean_ssd_prefetch_kv_bytes": 1326776.32,
      "mean_total_ssd_read_bytes": 16936632.32,
      "mean_selector_key_bytes": 15609856.0,
      "mean_selector_gpu_source_bytes": 0.0,
      "mean_selector_cpu_source_bytes": 0.0,
      "mean_selector_disk_source_bytes": 15609856.0,
      "mean_selector_load_ms": 69.66410445980728,
      "mean_selector_compute_ms": 16.66192714124918,
      "mean_selector_wait_ms": 69.76968917064369,
      "mean_selector_calls": 4.0,
      "mean_selector_fallbacks": 0.0,
      "mean_selector_jaccard": 0.0,
      "mean_speculative_hit_tokens": 1991.76,
      "mean_speculative_missing_tokens": 1688.08,
      "mean_speculative_unused_tokens": 1635.56,
      "mean_impress_prefetch_budget_seconds": 0.0,
      "mean_impress_next_prefetch_jobs": 0.0,
      "mean_impress_period_prefetch_jobs": 0.0,
      "mean_impress_period_prefetch_tokens": 0.0,
      "mean_prefetch_wait_ms": 21.9030917622149,
      "mean_prefetch_elapsed_ms": 1587.8612591605633,
      "mean_prefetch_scheduler_current_submitted": 28.0,
      "mean_prefetch_scheduler_next_submitted": 0.0,
      "mean_prefetch_scheduler_period_submitted": 0.0,
      "mean_prefetch_scheduler_current_queue_wait_ms": 245.62308333814144,
      "mean_prefetch_scheduler_next_queue_wait_ms": 0.0,
      "mean_prefetch_scheduler_period_queue_wait_ms": 0.0,
      "mean_prefetch_scheduler_total_execution_ms": 156.56304264441133,
      "mean_impress_deferred_compute_samples": 0.0,
      "mean_impress_deferred_compute_pending": 0.0,
      "mean_impress_period_prediction_jaccard": 0.0,
      "mean_impress_period_prediction_precision": 0.0,
      "mean_impress_period_prediction_recall": 0.0,
      "mean_impress_period_prefetch_hit_tokens": 1991.76,
      "mean_impress_period_prefetch_missing_tokens": 1688.08,
      "mean_impress_period_prefetch_unused_tokens": 1635.56,
      "mean_impress_value_ordered_prefetch_jobs": 0.0,
      "mean_impress_value_prefetch_budget_scale": 1.0,
      "mean_cache_update_ms": 5.653084563091397
    },
    "subj": {
      "samples": 110,
      "accuracy": 0.22727272727272727,
      "mean_ttft_ms": 237.57447720589963,
      "p95_ttft_ms": 268.76904582604766,
      "mean_selected_kv_bytes": 12630574.545454545,
      "mean_physical_prefetch_kv_bytes": 17230605.963636365,
      "mean_read_amplification": 1.3641563322747259,
      "mean_effective_keep_ratio": 0.04992287857201723,
      "mean_prefetch_gpu_source_fraction": 0.6975641747601373,
      "mean_prefetch_cpu_source_fraction": 0.2719934681629664,
      "mean_prefetch_disk_source_fraction": 0.030442357076895944,
      "mean_ssd_prefetch_kv_bytes": 530245.8181818182,
      "mean_total_ssd_read_bytes": 18601797.818181816,
      "mean_selector_key_bytes": 18071552.0,
      "mean_selector_gpu_source_bytes": 0.0,
      "mean_selector_cpu_source_bytes": 0.0,
      "mean_selector_disk_source_bytes": 18071552.0,
      "mean_selector_load_ms": 68.92110641453077,
      "mean_selector_compute_ms": 17.381466027687896,
      "mean_selector_wait_ms": 69.03374276801266,
      "mean_selector_calls": 4.0,
      "mean_selector_fallbacks": 0.0,
      "mean_selector_jaccard": 0.0,
      "mean_speculative_hit_tokens": 2157.5272727272727,
      "mean_speculative_missing_tokens": 2249.7454545454543,
      "mean_speculative_unused_tokens": 2246.109090909091,
      "mean_impress_prefetch_budget_seconds": 0.0,
      "mean_impress_next_prefetch_jobs": 0.0,
      "mean_impress_period_prefetch_jobs": 0.0,
      "mean_impress_period_prefetch_tokens": 0.0,
      "mean_prefetch_wait_ms": 17.210474220866505,
      "mean_prefetch_elapsed_ms": 1692.5088619559326,
      "mean_prefetch_scheduler_current_submitted": 28.0,
      "mean_prefetch_scheduler_next_submitted": 0.0,
      "mean_prefetch_scheduler_period_submitted": 0.0,
      "mean_prefetch_scheduler_current_queue_wait_ms": 226.16804710335353,
      "mean_prefetch_scheduler_next_queue_wait_ms": 0.0,
      "mean_prefetch_scheduler_period_queue_wait_ms": 0.0,
      "mean_prefetch_scheduler_total_execution_ms": 155.56835162199357,
      "mean_impress_deferred_compute_samples": 0.0,
      "mean_impress_deferred_compute_pending": 0.0,
      "mean_impress_period_prediction_jaccard": 0.0,
      "mean_impress_period_prediction_precision": 0.0,
      "mean_impress_period_prediction_recall": 0.0,
      "mean_impress_period_prefetch_hit_tokens": 2157.5272727272727,
      "mean_impress_period_prefetch_missing_tokens": 2249.7454545454543,
      "mean_impress_period_prefetch_unused_tokens": 2246.109090909091,
      "mean_impress_value_ordered_prefetch_jobs": 0.0,
      "mean_impress_value_prefetch_budget_scale": 1.0,
      "mean_cache_update_ms": 6.9848302413116805
    },
    "trec": {
      "samples": 120,
      "accuracy": 0.7,
      "mean_ttft_ms": 378.026093969432,
      "p95_ttft_ms": 448.66076903417706,
      "mean_selected_kv_bytes": 14450688.0,
      "mean_physical_prefetch_kv_bytes": 21377843.2,
      "mean_read_amplification": 1.4793650793650814,
      "mean_effective_keep_ratio": 0.05101214574898797,
      "mean_prefetch_gpu_source_fraction": 0.6517274714025585,
      "mean_prefetch_cpu_source_fraction": 0.10397122520884193,
      "mean_prefetch_disk_source_fraction": 0.24430130338859907,
      "mean_ssd_prefetch_kv_bytes": 5223219.2,
      "mean_total_ssd_read_bytes": 25457459.2,
      "mean_selector_key_bytes": 20234240.0,
      "mean_selector_gpu_source_bytes": 0.0,
      "mean_selector_cpu_source_bytes": 0.0,
      "mean_selector_disk_source_bytes": 20234240.0,
      "mean_selector_load_ms": 84.06101178067426,
      "mean_selector_compute_ms": 24.010102881584316,
      "mean_selector_wait_ms": 84.18538169935346,
      "mean_selector_calls": 4.0,
      "mean_selector_fallbacks": 0.0,
      "mean_selector_jaccard": 0.0,
      "mean_speculative_hit_tokens": 1657.6,
      "mean_speculative_missing_tokens": 3382.4,
      "mean_speculative_unused_tokens": 3382.4,
      "mean_impress_prefetch_budget_seconds": 0.0,
      "mean_impress_next_prefetch_jobs": 0.0,
      "mean_impress_period_prefetch_jobs": 0.0,
      "mean_impress_period_prefetch_tokens": 0.0,
      "mean_prefetch_wait_ms": 102.35514868594085,
      "mean_prefetch_elapsed_ms": 3382.6285028248094,
      "mean_prefetch_scheduler_current_submitted": 28.0,
      "mean_prefetch_scheduler_next_submitted": 0.0,
      "mean_prefetch_scheduler_period_submitted": 0.0,
      "mean_prefetch_scheduler_current_queue_wait_ms": 905.7876560177343,
      "mean_prefetch_scheduler_next_queue_wait_ms": 0.0,
      "mean_prefetch_scheduler_period_queue_wait_ms": 0.0,
      "mean_prefetch_scheduler_total_execution_ms": 303.3535042894073,
      "mean_impress_deferred_compute_samples": 0.0,
      "mean_impress_deferred_compute_pending": 0.0,
      "mean_impress_period_prediction_jaccard": 0.0,
      "mean_impress_period_prediction_precision": 0.0,
      "mean_impress_period_prediction_recall": 0.0,
      "mean_impress_period_prefetch_hit_tokens": 1657.6,
      "mean_impress_period_prefetch_missing_tokens": 3382.4,
      "mean_impress_period_prefetch_unused_tokens": 3382.4,
      "mean_impress_value_ordered_prefetch_jobs": 0.0,
      "mean_impress_value_prefetch_budget_scale": 1.0,
      "mean_cache_update_ms": 7.333573299304892
    },
    "rte": {
      "samples": 80,
      "accuracy": 0.85,
      "mean_ttft_ms": 341.079580783844,
      "p95_ttft_ms": 410.7722882181406,
      "mean_selected_kv_bytes": 17145856.0,
      "mean_physical_prefetch_kv_bytes": 24141824.0,
      "mean_read_amplification": 1.4080267558528425,
      "mean_effective_keep_ratio": 0.04974213941107973,
      "mean_prefetch_gpu_source_fraction": 0.6152841005130216,
      "mean_prefetch_cpu_source_fraction": 0.32662794232852854,
      "mean_prefetch_disk_source_fraction": 0.058087957158449964,
      "mean_ssd_prefetch_kv_bytes": 1404108.8,
      "mean_total_ssd_read_bytes": 26025164.8,
      "mean_selector_key_bytes": 24621056.0,
      "mean_selector_gpu_source_bytes": 0.0,
      "mean_selector_cpu_source_bytes": 0.0,
      "mean_selector_disk_source_bytes": 24621056.0,
      "mean_selector_load_ms": 87.16732623870485,
      "mean_selector_compute_ms": 24.842633557273075,
      "mean_selector_wait_ms": 87.29242472327314,
      "mean_selector_calls": 4.0,
      "mean_selector_fallbacks": 0.0,
      "mean_selector_jaccard": 0.0,
      "mean_speculative_hit_tokens": 2564.0,
      "mean_speculative_missing_tokens": 3416.0,
      "mean_speculative_unused_tokens": 3416.0,
      "mean_impress_prefetch_budget_seconds": 0.0,
      "mean_impress_next_prefetch_jobs": 0.0,
      "mean_impress_period_prefetch_jobs": 0.0,
